Id,Title,Review,Label
11,Gods Own Country,"Hey, guys, I went to Kerala last months before Onam festival.

Alleppey is well known for the backwaters. The scenery is fabulous. The classical houseboats are available the price of service is different as per every houseboat. On the spot, booking is really available during Onam festival and that time they charge more cost for 24hr.

We were gone to Alleppey during Nehru Trophy Boat race.

To reach alleppy we have to travel through Bus from Kochin or one can book ola or Uber.

Kollam beach is on 30 km from Alleppey.

We booked a 3BHK houseboat and the staff was so nice. They care about us at all. The food is available on the houseboat and test of food was yummy.

In Safety point of view, we can see police in speedboats all time for help tourist. We can see their fisherman catching the fishes and the huge rise farms can also be seen.",5
12,Best Place to Relax,"Alleppey is in Kerala State which consists of different types of scenery. The major attractive place in Alleppey is the Beach. We can get access to alleppey by Air, Train, Road and Water.

This alleppey beach is one of the best beaches in South India. This location is mind blowing one to visit. This Alleppey Beach is one to see when you have time to visit Kerala.

Pathiramanal is the name of Island located in the Alleppey, which is most beautiful place to watch. Too many films were taken in the Island. The another attraction in the alleppey is the houseboat. We can travel in the houseboat via backwaters for local sightseeing.

There are many hotels and superb accommodation available in Alleppey. The sea food also much famous in this houseboat. This place is covered with full safety and no need to worry about it.

I suggest you all to spend time in ALLEPPEY while have a trip plan to Kerala. This is really amazing location to visit all of you once in your life time.",4
13,Wonderfull place,Last week i've been their. wondeefull place.really loved that exprnce. One and only place in the earth below sea level. Famous for its tourisum. I spend lots of holydays their. Witnessed nehru trophy boat race. Superb one. House boat expernce is unexplainable and the traditionl food. Mainly the fish items and today are the main items. Really love this place. Its really gods own country,3
14,Kerala Gods own country,Kerala tourism in most and award winning in the world famous place in this state Athirapally vazhachal largest waterfall in Kerala drive in beach Payyambalam Kannur district Bekal Fort Alleppey in in Kasaragod district komarum is largest backwater houseboat faculties Homestay and homely food Alleppey in the beautiful beach Kerala,3
15,Such a lovely place....,"Alleppey is tourist place in Kerala, southern India. Recently I visited Alleppey with my Family. We had a lot of enjoyment

there. It was a really memorable trip with my Family. Alleppey is also named as Alappuzha. Alleppey is a cool place. There

we went to Alappuzha beach and I had a lot of fun with my Family. There were all coconut trees, boats, ships and cool

climate. That feels us happy and lovely. Really, friends, everyone should watch this Alleppey place. Such an awesome

place. And other attractions of Alleppey are The Laccadive Sea, Ambalappuzha Sri Krishna Temple, CSI Alappuzha Christ

Church and lot of Temples are nearby Alleppey. And one thing if we Heard the word Kerala first our brain strikes only

thing beach and boating. And the special attraction of our trip was boating itself. We had a whole day in boat and the

boatmen were served us with nice Delicious Food. There was a lot of hotels we stayed for two days in hotel neat and

clean hotels. And we were wearing boat safety jackets which were provided by boatmen. Really, friends, we had a lot

of fun there. I suggest you all visit Alleppey and get a lot of fun.",5
16,Amazing place to relax,"Last year during my college trip we visited Kerala. Alleppey is one of the place we visited there.

It was really fantastic and mostly it was romantic.

Generally it is famous for houseboats.

We reached Kerala by train we accessed to Alleppey through bus.

So we can reach here by train, flight or bus. Accessibility is not much tougher.

Here I will share my personal experience about the places in Alleppey.

Alleppy is also called as Alappuzha.

We first visited Alappuzha Beach which was really a calm place and we had a great sight seeing. It is a very long beach and also nearby we saw a Lighthouse there.

Pandavan rock is a kind of picnic spot. There we saw a cave and we got the information that pandavas were stayed inside that cave! One of the most wonderful place.

Sea view Park which was very near to Alappuzha beach were boating will be available and also we have to get a ticket to go inside.

Chammanad Devi temple which was located on the highway. It was really amazing architecture!

Still there were several places to visit like several islands, boating place, etc. But due to lack of time we couldn't able to visit all places. Churches also available.

The hotels were really good and the place near hotels will be clean. Proper services will be provided.

Visit during September or October. The climatic conditions will be fabulous.

It was really safe and secure over there.

Best place to visit! Romantic place!

",4
17,Beautiful place on this earth,"Hi, I wanted to share my personal opinion about one of the fantastic place on the globe.

Allegory is close to around 600km from Bangalore. The western ghat looks beautiful and it takes around 10hrs to reach. The speciality of alleppey is backwaters and boathouse. The cost of boathouse starts from 5000Rs. The AC boathouses are little bit expensive but really worthy which offers a cook to prepare food, bed, TV, 6 individual rooms and many more. The best food for non-vegetarian is karimeen. If you have 25k, you can stay for 3days easily.

Best destiny for Summer vacation and Honeymoon couples.",5
18,NICE PLACE FOR HONEY..,"Hi .companions .Here am sharing experience my trip Alleppey located in Kerala state, India.I went to there with my wife for summertrip.Allepy is nice place for couples to enjoy re laxly.Kerala seems amazing.I have booked the trip from online make my trip with the whole package offer of total 7 days.They took on flight its wonderful experience with my wife and wonderful trip.We have enjoyed lot and completed destressed after the trip.Safety highly covered whereever I went I seem this one.The trip made more happy in my life.There are many temples and sight seeing places in kerala.Its amazing with beaches and coconut trees, narrow roads, houses.We have stayed in Hotel booked by company and enjoyed there that is resort.So we have spent with all games and food is very tasty with coconut oil.its really wonderful pls go there really families will enjoy alot.Thank you.",3
19,Very nice place,"Hello friends, today I want to share my experience with alleppey, actually me and my family went to alleppey one year ago.alleppey is also called as alppuzha and this place is very famous for back home water boating.and there is one of gods temple is here that is srikrishna temple.and alleppey is the city in kerela, i had a great experience in water journey we are sitting in a boat and enjoying the surroundings nature.and we felt like we are floating in a water.and I felt very sorry for the peoples are living along side on the shore and we are stayed in a resort and that is called lemon tree resort it is very nice and comfortable and kerala side food was very tempting and tasty, in whole the trip, what I disliked is humidity and narrow roads.but I would prescribe you all go and watch this.i would tell you people will definitely enjoy, thank you.",3
20,NICE PLACE IN KERALA,"Hello friends, what ah place! alleppey is the city in kerala, the alleppy is also known as alappuzha.alleppey is every body's dream to visit and enjoy the nature, alleppey is famous for it's back water boating! it is really very good experience of the journey in water, sitting in a boat and enjoying the nature surroundings.we feel like we are floating in the water, but I felt very sorry of the people living alongside of the shoreand we stayed in lemon tree resort and which was very comfortable and nice.the kerala side food was very tempting.but what I disliked was the humidity and the narrow roads.",3
21,Trip to Alleppy...........,"I had a trip  with my family to Kerala at last December. While tour we visited the beach place called Alleppey. we took the mode of travel by train, which took around 08 hours to reach the place from my native station jolarpettai. But the place is accessible by road, train, and by flight also the nearest airport is Trivendram and the railway station is alleppey or allampuzla.

At alleppey we stayed 02 days at alleppey in hotel Cassia which is near to the alleppey beach station.  while sight seeing we visited the famous alleppey church, some temples, beach, and shopping mall. There is no fear for security due to security arrangements of the state along the beach side police stations are available.",4
22,Best place in kerala,"Alleppey is a place situated in the Kerala state.This place is also known as alleppuza.First I choose this place for our Kerala tour.My Husband is unknown about this place.when I first told her he told Alleppey what is this.I told that I must enter this place into our visiting place.After ooty we went to coimbatore.From Coimbatore we went to alleppey.I Love the place Alleppey.This place is famous for houseboat cruises in backwater.The cost of Houseboat cruises is more .If we stay in houseboat from 9 am to next day 11am we have to pay Rs 7000 . That's why we decided to visit backwater in sikara.Sikara is a small boat were we set and enjoy backwater.we ride in sikara for 2 hour and pay Rs. 750.We enjoy the backwater ride every much we feel refresh after riding.we book our hotel near sea.After that we went to the sea and enjoy some time in the sea.For the first time I watch a Sea I am very happy.After that we visit all the places of alleppey that is Alleppey beach, Arthunkal Church, Marari beach ( it is a coconut beach) , coir museum.I love the place alleppey very much.Hotel accommodation in alleppey is also Good.For refreshment of brain Alleppey is the best place in kerala.In my future if I get chance I visit this place Alleppey once again.",4
23,My first trip!!,"My first trip all alone with my bestie. The train was booked before 2 months and it was Allepey express. We started on 23rd December and had a very fine trip. It was nearly 12 hrs journey and I was completely excited while viewing the scenario through the window in the train. Finally reached the place and the room was already booked at sea side residency in allepey, which was 0.5 km from railway station and 1 km from allepey beach. After getting a room we had a beautiful lunch. The food we get there exceeds everything ??The stay was there for 2 days.

Day 1 : Allepey beach and chruches in Allepey

Day 2 : Ambalapuzha and near by temples

We celebrated our Christmas there by cutting cake and distributing inside the hotel.

Thoroughly enjoyed my stay. Make sure you select during Oct to Dec. This is the nice climatic condition for a stay at Allepey.

Food: Best food, you will get everywhere in allepey. Try to taste their parotta with egg curry, which is a heaven to have.

Even try to have fish curry there .I had my food at Hotel Cassia, which is present near to allepey beach

Have a great stay, safe journey and enjoy.! You will also enjoy this place??",5
24,Boat house Review,"The boathouse which was booked by my travel agent was Midali/Mithali(some thing which sounded like that) Boat house

it was our bad that we reached very late and to our surprise the boat which was reserved for us was take over by some local people(around 10) for boozing . The cook and the person who drove the boat were drunk. The cook was not even able to stand or talk properly. The food that was provided was not prepared at the time of serving the guy who served us just kept everything on the table and slept off in a room saying he had a bad head ace(which is obvious after boozing). The boat was not well maintained, the AC was not working.

Above all, after providing the feed back these guys says that they were not localite and they were from Germany(lol).",1
25,Review on Alleppey,"Alleppey is a city in Kerala, India on the Laccadive Sea.

It can be accessed by bus if you are in Kerala, or by flights or Trains.

It is a famous place for houseboat cruises along Kerala backwaters, lagoons and network of canals.

Places to visit in Alleppey are Marari Beach, Alappuzha beach, Vijay beach Park, Chakkulathukav Temple, Mannarasala Sree Nagaraja Temple etc.

There are many hotels for accommodation, some of the best hotels are

Kondai Lip Backwater Heritage Resort, Alleppey beach resorts, Alleppey Prince hotels, Aquabliss etc.

It is a comparatively safe place for everyone.",4
26,WELCOME TO LAND OF WATER-ALLEPPEY,"Dear friend

Happy to see you here.

Todsy I want to tell you about MY DEAREST DESTINATION EVER IN THE WORLD!

Yes .its real that I am from this tourist destination of Kerala, India.

A PLACE WITH DIFFERENT STREAMS OF WATER BAYS.JOINING AT HERE AND THERE!

An easiest accessible place in the world as it has a lot of accessibilities from different kinds of transports

Like air, train, water.etc.

The only thing needed is your attitude to see THE MOST BEAUTIFUL PLACE in the WHOLE WORLD!

GET READY! GO TO GOOGLE! TYPE ALLAPPEY OR ALAPPUZHA!

GET THE TICKETS!RUSH TO HERE!

SEE!WATCH! AND BE CONSOLIDATE YOURSELF!

DON'T MISS THE BOATING THROUGH THE VEMBANAD LAKE! EAT THE TASTEY FOOD FROM NATURE!

ENJOY YOURSELF! COME WITH YOUR FRIENDS AND GIVE THEM A BIG SURPRISE!",5
27,City of water-Alleppey,"Alleppey! What a city ! You can say the city of water. in fact most of the city is not covered with the water but the city is famous for its backwater area. Alleppey back water-a city which develop in water. if you want to go one place to other places in Alleppey back water there where no vehicle like scooter, bike etc. but there are many boats as a vehicle to use that you can go when you have to go. the most famous race between a very long race perform every year at here . I don't know the exact name of this race .in Alleppey back water there were also hotels, police station etc in the water. in short Alleppey-we can say the city of water. such a unique kind of city . awesome !",5
28,Best place ever,"Alappuzha ( or Alleppey) is a city on the Laccadive Sea in the southern Indian state of Kerala. It's best known for houseboat cruises along the rustic Kerala backwaters, a network of tranquil canals and lagoons. Alappuzha Beach is the site of the 19th-century Alappuzha Lighthouse. The city's Mullakkal Temple features a…",3
29,ONE OF THE BEST BEACH IN KERALA ALLEPPY,The alleppy is one of the best city in kerala and it is having many beaches and places to visit and marari beach is a beautiful and very nice view of the sunset can be seen here.and the one of the famous church is arthunkal church is a vwry bedt church in allppey. The trains and buses are easity avilable from coimbatore and local sightening is very beautiful we can see many beaches and many churches and many famous restaurents .there are many famous hotels are avilable with resonable rates .the costal police is very strict and does not allow anyone to go inside the beach wen the beach is full of water .and does not allow any illegal services,5
30,ALLEPPEY - houseboat destination,"When you think of a backwater houseboat cruise, there is no other place to go, other than alapuzha. a wide variety to choose from normal to five star facilities. make sure to select a package that will give you an opportunity to anchor in the middle of any lake for the night, catch a fish, grill it or make a curry, the memories is bound to stay forever. alapuzha have sometimes been referred as the venice of the east. its time to go guys",3
31,Been there done there,"My bestest experience ever ever ever. I was cherished and enchanted by the nature force, it will mesmerize u in a moment. Places like Alleppey are heaven, I was there with my two friends we drove to alapuah, thekdy, periyar munar. Each and everything about kerla is awesome. People overthere are friendly. BUT things that matters is smoking, tobacco eating is fully abolished u just can't smoke in open, people around you will always warn you to lay your habit down. Everything in kerla is great and Alleppey to. That's why people call kerla as God's own country. Country, I dono why",5
32,Kerala houseboats,Holidays are to be enjoyed maximum so that it is to be remembered life long.Each and every moments of live should be enjoyed. Houseboats are of different type and also there are different packages available for different tour.I think watersprite tours in alleppey gives you a wonderful houseboat experience.Its my personal experience that is why I like to share the happiness with you.,3
33,Worth a visit only for it's Houseboat cruises!!,"We planned for a kerala trip during the month of December. It was on season so finding hotels were difficult. The last place in our itinerary was Alleppey or popurarly known as ""Alappuzha"". We drove our way to Alappuzha from Munnar. There are primarily two places to visit in Alleppey. One is Alleppey beach and the other is the houseboat cruises in Kerala backwater. To be honest it's a one day trip. Since we were not familiar with the places, so we stayed there for 2 days. One strange thing I noticed, there were no hotels/lodges near the railway station. The food wasn't good at all. Vegetarian food was little bit okay'ish type but non-veg was pathetic mainly because of the use of curry leaves & coconut oil. The climate was subtle as it was December. Also the place remains crowded with foreign tourists throughout the season.",2
34,"Alleppey , The Kerala's Backwater beauty","Alleppy,  is  every body's dream to visit  and enjoy the nature.  Alleppy in Kerala is famous for it's Backwater Boating!.It is really a very good experience of the journey in   water,  sitting in a boat and enjoying the nature surroundings. We feel like we are floating in the water, when the cool breeze is making us very soothing.

But I felt very sorry  of the people living alongside of the shore, thinking  of their troublesome life. The people are very cooperative, even the Boatman!

And We stayed in Lemon Tree Resort  which was very comfortable and nice. The Kerala-style food was tempting!

But what I disliked was the  humidity and the narrow roads",4
35,"Houseboat from Amrutham, an excellent feedback","After a big search, I found Amrutham Houseboats are better and my choice was not wrong. I travelled in the month of January with a group of 11 and booked a 4 room boat which is having a deck. I really liked the way they treated us.

Food was really tasty and nature beauty at its best and so relaxing. When the boat parked at night, we walked along the village, visited a temple and tried fishing. We enjoyed the night with some Card games and music. Travel started again morning and ends by 9 with breakfast.",5
36,Allepey,"Alappuzha alternately alappy also called venice of the east will be An town On focal kerala. This end to its backwater/lake tourism. Alapuzha may be well known to energizing day What's more night excursions Previously, houseboats, bona fide kerala treditional cuisines, ayuveda wellness treatments, parts for handy resorts What's more hotels.

What I have any desire say regarding alapuzha will be unfortunately negetive. This spot is unhygenic region due to poor waste oversaw economy What's more lack of awareness. Thereabouts a significant number streams starting with high countries wind up under this backwater carrying a large number of tons about waste consistently. Also each contageous infection done kerala begins for alapuzha range. The water to alapuzha may be In this way filty. We generally dodge consuming Furthermore drinking starting with alapuzha region dreading unhygenic What's more dysentry. Visitors might not make thus energized At they view smudged water Furthermore plastic loads all over and the commonplace terrible smell about that greenish water may be not that pleasant. I might propose kumarakom as an elective. Kumarakom may be likewise a acclaimed backwater end close-by Be that path additional clean Furthermore filthfree over alapuzha. Administrations arte less expensive excessively. Kindly look at kumarakom When you arrange an alappy trek next occasion when.",4
37,Famous backwater destination but…,"Alappuzha or alappy also called venice of the east is a town in central kerala.this destination for its backwater/lake tourism.alapuzha is famous for exciting day and night trips in houseboats, authentic kerala treditional cuisines, ayuveda wellness treatments, lots of good resorts and hotels.

What I want say about alapuzha is unfortunately negetive.this place is unhygenic area because of poor waste management and ignorance.so many rivers from highlands end up into this backwater carrying millions of tonnes of waste every year.and every contageous disease in kerala starts in alapuzha area.the water in alapuzha is so filty.we always avoid eating and drinking from alapuzha district fearing unhygenic and dysentry.tourists may not be so excited when they see filthy water and plastic heaps everywhere and the typical bad smell of that greenish water is not that pleasant.mosquito issue is severe.Always do take care about this when going for a nighttime houseboat cruise because at night the boat will be stationary for 6-8 hours so mosquitos will atack you like rockets.

.kumarakom is also a famous backwater destination nearby but way more clean and filthfree than alapuzha.services are a little cheaper too.please check out kumarakom before you plan an alappy trip next time.i would suggest kumarakom as an alternative.",2
38,House boats Alleppey!!!,"Alleppey is located in the state of Kerala which is best known for houseboating in the Kerala backwaters.

It's a very romantic place and most of the couples prefer this place for a visit to enjoy their vacations.

It is a superb travel and tourism attraction in Kerala and houseboats being the major attraction are so well decorated and facilitated that you will feel like staying in a hotel inside a boat.

You'll find greenery All Around The Water place here it is one of the major regions where coconut is produced and you'll also find a lot of whole sale coconut dealers and coconut oil vendors out here.

Overall nice place for outing if you are in a group or if you are a couple.",4
39,Destinations to be seen,"Allepey is a place in kerala which consists of different types of landscapes.The major attraction in allepey is the beach.The allepey beach is one of the best beaches in south India.It is a mind blowing one to watch.The allepey beach is one to see when you visit Kerala.

Allepey also consists of an island named as pathiramanal which is beautiful.Many films have taken this island as their location.The another major attraction in allepey is the house boats.we can travel in house boats through the back waters in allepey.It is also famous for its sea food.It is really delicious.I suggest you to spend some time in allepey while visiting south India.It is an amazing place to spend time.i suggest you to go for it.",5
40,Its awesome But has to care full about agents,"I been alleppey with my wife we booked house boat for one day but it was scheduled at 12 o clock afternoon. But we reached alleppey around morning 6 0 clock so we called the agent he said boat are resumed at 12 till that we can visit  alleppey beach we took auto went there but nothing much to see its kind of normal beach and after spending one hour we went back to allepey main town we took auto we asked auto guy where do we spend time till 12 noon he took us to small boats its very good for 3 hour they were charging around thousand we agreed and took in mean time he took another family in that boat and he said he will reduce some money for that we agreed as we only two .

But beware about the auto people and agents actually it cost around 600  but this auto guy made us to pay higher . and we spent till  12 in that boat and we started our house boat journey it was quite good but timings again they resume at 12 at 1 30 they again stopped again 3 they resumed and stopped at 4 30 and they said next day morning they resume back and next day morning they resumed at 7 and 8 clock they stopped so be aware about these agents and commission people",4
41,Best destination to relax,"Went to kerala last month with my wife to celebrate anniversary. We stayed at munnar and allepey house boat.

Honestly the best part of my trip was the Houseboat. It was awsum. First time experience and would love to go again and again.

Facilities was too good. And food was just fingers licking.",4
42,God's Own Paradise,"I am very happy write a review about Alleppey Or Aplappuzha because am a native of Alappuzha by birth, Even I have visited many other tourist location in many parts of India, Still I will give the first prize only to Alleppey, Anyway lets me share my information's and details about my native place, Its very difficult to shorten the infos about a beautifull place like alappuzha. Here we Go.

Alappuzha(Alleppey):

Alappey is in betwwen the board of Arabian Sea and a group of rivers flowing to Alleppey. Alappuzha is also known as ""Venice Of the East"", This name was given by Lord Curson(Viceroy of indian Empire) while he visited Alleppey. Ok! Let me share some of the beutifull insights of Alappuzha.

Alleppey the the most and No.1 preferred Tourist location in Kerala, even in India, Alleppey is fully bounded with a large network of Canals. Alleppy is the very popular in the name of BackWater Tourism, This is a place completely surrounded with water.

Alappuzha is very well known for its Snake boat Race, one of the occasion when many peoples come to alappuzha from different parts of India to view this festival on water, This water festival is conducted in every second Saturday of August ebery Year, This Boat is known Nehru Cup Boat race because it was inaugurated by Jawaharlal Nehru, The former Prime Minister of India in 1952, So if anyone prefer to come to Alleppey for tripping I would suggest to visit alleppy on this time, so it will be a wonderful moment for you.

Let me point out some of the beautiful  This I will I would prefer to don't miss:

Back Water cruise:

The Backwaters of Alleppy really make it a heaven and the most preferred place to tour. Alapuzha is blessed and surrounded with Backwaters in almost all the areas. This is the main thing tourists get attracted to Alleppey. Cruising on Water at alleppy is one the best thing I prefer to do at alleppey. Dont miss it.

Krishnapuram Palace;

This another superb place to visit at alleppey, This palace was built in 18th century, by the Travancore King Marthanda varma, This palace is now a archaeological Museum with wide variety of sculptures and famous paints, So guys dont miss it.

Entrance fees is only just Rs 25/-

Rice Bowl of Kerala, Kuttanad:

This is one the most beautiful place in India, Kuttanad also known as Rice bowl of kerala, Kuttanad have huge spreads of green paddy fields against the backdrops of placid backwaters, So don't miss this beautiful place in Alleppy, even many foreigners come to India to Visit kuttanad, Entry fees is absolutely free of charge.

So Overall I give 4.5/5 to My Native",4
43,Mosquito problems with worst water service..!!!,"We were 11 members in a group and opted a big boathouse to accommodate all of us.firstly, the food served was not that good.Then, as night arrived the boat was parked on a island.This was a nightmarish experience with mosquitoes.we thought of enjoying the night but were forced to sleep due to mosquitoes.t

Then the water given to there for bathing and all was very dirty(yellow in colour.etc .).If u like to go in a boathouse make sure u have the most expensive boat so that u enjoy the trip.or else don't in an economy boat.",2
44,Alleppey Tourist Atttraction By State Kerala,"On the day I arrived in Alleppey, and went to the stipulated destination to board my houseboat; I was made to wait for my houseboat; and that too I had to share till 3.30 PM with some other family.

Later on I was moved to a different private boat; but they also took some time to clean it and get ready for us; and we had to wait for some time for it to get started.

While we took some rest after an exhausting day; and later were enjoying the scenic beauty; the boat was put to halt and anchored on the shore at 5.30; citing govt. regulations.(But as far as I know, they allow till 6.00 PM).

Recently I visited Kerala for family tour and I booked the Alleppey boat house through Country Travel Mart.

The houseboat was very beautiful. The cruise members are very polite and helpful. The food given were very delicious.",4
45,Alleppey Houseboat - AMRUTHAM,"Thanks to Mouth Shut to share the Houseboat reviews about Amrutham group.

Hearing good reviews, my family traveled in 'Amrutham Houseboat Nov 2014'.

Excellent Hospitality and service. A Pleasant experience overall. Food, staff and service were remarkable. We stayed for 2 days in luxury super-deluxe category boat which was specially for our booking.

Thanks to chef and other crew.",5
46,Excellent Houseboat trip with AMRUTHAM HOUSEBOATS,"Thanks to Mouth Shut for helping me chose the best Houseboat in Kerala. I was really confused to select the boat for my overnight stay at Alleppey by reading many online complaints and reviews about many Houseboat operators. After a hard online search, I selected some operators like Rainbow, Angel, Amrutham, Nas, Atdc, JCT, Lakes and Lagoon, Kumarakom Houseboat, etc. Finally, Mouth Shut helped to select the Best one among them - Amrutham and must say, this was the best time I ever had in a trip. A beautiful individual boat with professional staff. A very good way to explore the real beauty of Kerala's own backwaters. exceptional food from Kitchen, spacious and beautiful boat, honeymoon specials, natural beauty of kerala, etc, etc  made my stay memorable one. We have already finalized the location to celebrate our first anniversary - God's Own Country and its lovely backwaters.",5
